index,state,shap_value
614,West Bengal,156022.51533381714
615,Andaman and Nicobar,-217113.98801132286
616,Andhra Pradesh,460120.1551876172
617,Arunachal Pradesh,-978019.2452940503
618,Assam,-642264.3518068506
619,Bihar,-125005.09779345163
620,Chandigarh,96216.88476698915
621,Chhattisgarh,-306437.0508397647
622,Dadra and Nagar Haveli,-5029.9076260890515
623,Daman and Diu,-4063.6821255098043
624,Goa,40104.2390338864
625,Gujarat,41074.96393077381
626,Haryana,360520.29659557965
627,Himachal Pradesh,-402571.8774464685
628,Jammu and Kashmir,-486924.4552551916
629,Jharkhand,-297517.5765579179
630,Karnataka,1078002.689076079
631,Kerala,490110.17612637626
632,Lakshadweep,-194724.24071989313
633,Madhya Pradesh,-764210.2799638589
634,Maharashtra,1063228.1168063455
635,Manipur,-396386.6231704584
636,Meghalaya,-896112.8229135246
637,Mizoram,-205936.39213789388
638,NCT of Delhi,730363.8813657719
639,Nagaland,-757149.5348427941
640,Odisha,-1134022.4998064437
641,Puducherry,-105145.33337160028
642,Punjab,682205.0810027095
643,Rajasthan,-35165.74264973853
644,Sikkim,-52383.63228023833
645,Tamil Nadu,610704.7501800251
646,Telangana,1118063.603649722
647,Tripura,33919.98683185767
648,Uttar Pradesh,1170692.3455746516
649,Uttarakhand,-49786.59379962291
650,West Bengal,1007328.0779206391
651,Andaman and Nicobar,-69591.65706315858
652,Andhra Pradesh,9656.370014240169
653,Arunachal Pradesh,-149558.42155457035
654,Assam,-117716.06993189841
655,Bihar,101621.33387466845
656,Chandigarh,90398.93013154482
657,Chhattisgarh,44906.23320113939
658,Dadra and Nagar Haveli,66860.4183385893
659,Daman and Diu,49205.27569061763
660,Goa,33366.28486253473
661,Gujarat,32155.380445413015
662,Haryana,55273.8973529205
663,Himachal Pradesh,-42760.29751206497
664,Jammu and Kashmir,-55801.77539304284
665,Jharkhand,-39114.65600642421
666,Karnataka,133316.04491163188
667,Kerala,47625.73140025434
668,Lakshadweep,-30014.196195468394
669,Madhya Pradesh,-121550.84786793494
670,Maharashtra,166191.6380852544
671,Manipur,-63096.47200137679
672,Meghalaya,-136071.9794407379
673,Mizoram,-44069.925404202615
674,NCT of Delhi,105096.46035381545
675,Nagaland,-120033.26301949016
676,Odisha,-134924.01451707692
677,Puducherry,-41122.24004736624
678,Punjab,39040.340317803566
679,Rajasthan,-40396.403878666235
680,Sikkim,-18620.88448218334
681,Tamil Nadu,52097.97555742195
682,Telangana,126006.79017880587
683,Tripura,33209.727505060946
684,Uttar Pradesh,217375.73419737298
685,Uttarakhand,26241.119433590244
686,West Bengal,156026.47852220308
